EMAIL,FIRSTNAME,PHONE,CREATION_DATE,GENDER
junie@example.com,Junie,0682145672,12-01-2019,1
john@example.com,John,0745632109,10-03-2019,2
marc@example.com,Marc,0675489125,03-08-2019,1
marc@example.com,Marc,0675489125,03-08-2019,1
marc003@orange.fr,Marc,0675489125,03-08-2019,1
Yohanndurand76@gmail.com,Marc,0675489125,03-08-2019,1
ydurand@outlook.com,Y,0675489125,03-08-2019,1
adijoux@hotmail.fr,Marc,0675489125,03-08-2019,1
lucas95@albert.net,Marc,0675489125,03-08-2019,1
lleleu@guillon.fr,Marc,0675489125,03-08-2019,1
ffoucher@wanadoo.fr,Marc,0675489125,03-08-2019,1
ffoucher@wanadopmmmm.fr,Marc,0675489125,03-08-2019,1
aaaaaaaaaaaaaaa@wanadoo.fr,Marc,0675489125,03-08-2019,1
ffoucher@oranga.fr,Marc,0675489125,03-08-2019,1
yo@wanadoo.fr,Marc,0675489125,03-08-2019,1
hello@wanadoo.fr,Marc,0675489125,03-08-2019,1
sacha6623@gmaila.com,Sacha,0675489125,03-08-2019,1
sacha6623@gmail.coma,Sacha,0675489125,03-08-2019,1
adjoijihd@gmail.com,Sacha,0675489125,03-08-2019,1
